,StringencyIndex
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,7.94
972,7.94
973,7.94
974,7.94
975,7.94
976,7.94
977,7.94
978,16.27
979,16.27
980,19.44
981,19.44
982,19.44
983,19.44
984,19.44
985,19.44
986,19.44
987,19.44
988,19.44
989,19.44
990,19.44
991,19.44
992,19.44
993,19.44
994,19.44
995,19.44
996,19.44
997,19.44
998,19.44
999,19.44
1000,19.44
1001,19.44
1002,19.44
1003,19.44
1004,19.44
1005,19.44
1006,19.44
1007,19.44
1008,19.44
1009,19.44
1010,19.44
1011,19.44
1012,19.44
1013,19.44
1014,19.44
1015,19.44
1016,19.44
1017,19.44
1018,19.44
1019,19.44
1020,19.44
1021,19.44
1022,30.56
1023,30.56
1024,34.53
1025,42.47
1026,45.24
1027,45.24
1028,45.24
1029,50.54
1030,63.11
1031,63.11
1032,63.11
1033,63.11
1034,63.11
1035,71.44
1036,71.44
1037,71.44
1038,71.44
1039,70.91
1040,70.91
1041,70.91
1042,70.91
1043,70.91
1044,70.91
1045,70.91
1046,70.91
1047,70.91
1048,70.91
1049,70.91
1050,70.91
1051,70.91
1052,70.91
1053,70.91
1054,70.91
1055,68.26
1056,68.26
1057,68.26
1058,68.26
1059,68.26
1060,68.26
1061,68.26
1062,68.26
1063,68.26
1064,68.26
1065,68.26
1066,68.26
1067,68.26
1068,68.26
1069,68.26
1070,68.26
1071,68.26
1072,68.26
1073,68.26
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
4063,0.0
4064,0.0
4065,0.0
4066,0.0
4067,3.97
4068,3.97
4069,3.97
4070,3.97
4071,3.97
4072,3.97
4073,3.97
4074,3.97
4075,3.97
4076,3.97
4077,3.97
4078,3.97
4079,3.97
4080,3.97
4081,3.97
4082,3.97
4083,3.97
4084,23.02
4085,41.55
4086,41.55
4087,41.55
4088,63.77
4089,63.77
4090,63.77
4091,63.77
4092,63.77
4093,63.77
4094,69.06
4095,69.06
4096,69.06
4097,69.06
4098,69.06
4099,69.06
4100,69.06
4101,69.06
4102,69.06
4103,65.89
4104,65.89
4105,65.89
4106,65.89
4107,65.89
4108,65.89
4109,65.89
4110,65.89
4111,65.89
4112,65.89
4113,65.89
4114,65.89
4115,65.89
4116,65.89
4117,65.89
4118,71.45
4119,71.45
4120,71.45
4121,71.45
4122,71.45
4123,71.45
4124,71.45
4125,71.45
4126,71.45
4127,71.45
4128,71.45
4129,71.45
4130,71.45
4131,71.45
4132,71.45
4133,71.45
4134,71.45
4135,71.45
4136,71.45
4137,71.45
4138,68.28
4139,68.28
4140,68.28
4141,68.28
4142,68.28
4143,68.28
4144,68.28
4145,68.28
4146,68.28
4147,68.28
4148,71.05
4149,71.05
4150,63.11
4151,63.11
4152,63.11
4153,63.11
4154,63.11
4155,63.11
4156,60.47
4157,60.47
4158,60.47
4159,60.47
4160,60.47
4161,51.2
4162,51.2
4163,51.2
4164,51.2
4165,51.2
4166,51.2
4167,51.2
4168,51.2
4169,51.2
4170,51.2
4171,51.2
4172,51.2
4173,51.2
4174,51.2
4175,51.2
4176,51.2
4177,51.2
4178,51.2
4179,55.17
4180,55.17
4181,55.17
4182,55.17
4183,55.17
4184,55.17
4185,55.17
4186,55.17
4187,55.17
4188,55.17
4189,55.17
4190,55.17
4191,55.17
4192,55.17
4193,64.44
4194,64.44
4195,
4196,
4197,
10557,0.0
10558,0.0
10559,0.0
10560,0.0
10561,0.0
10562,0.0
10563,2.78
10564,2.78
10565,2.78
10566,2.78
10567,2.78
10568,2.78
10569,2.78
10570,2.78
10571,2.78
10572,2.78
10573,2.78
10574,2.78
10575,2.78
10576,2.78
10577,2.78
10578,2.78
10579,2.78
10580,2.78
10581,2.78
10582,2.78
10583,2.78
10584,2.78
10585,2.78
10586,2.78
10587,2.78
10588,8.33
10589,8.33
10590,8.33
10591,19.44
10592,13.89
10593,13.89
10594,13.89
10595,13.89
10596,13.89
10597,13.89
10598,13.89
10599,13.89
10600,13.89
10601,13.89
10602,13.89
10603,13.89
10604,13.89
10605,13.89
10606,13.89
10607,21.03
10608,21.03
10609,21.03
10610,21.03
10611,21.03
10612,39.81
10613,39.81
10614,39.81
10615,39.81
10616,39.81
10617,39.81
10618,47.75
10619,47.75
10620,47.75
10621,47.75
10622,47.75
10623,47.75
10624,47.75
10625,50.52
10626,50.52
10627,50.52
10628,50.52
10629,50.52
10630,50.52
10631,50.52
10632,50.52
10633,50.52
10634,50.52
10635,50.52
10636,50.52
10637,50.52
10638,50.52
10639,50.52
10640,50.52
10641,50.52
10642,50.52
10643,50.52
10644,50.52
10645,50.52
10646,50.52
10647,50.52
10648,50.52
10649,50.52
10650,53.3
10651,53.3
10652,53.3
10653,53.3
10654,53.3
10655,53.3
10656,53.3
10657,53.3
10658,53.3
10659,53.3
10660,53.3
10661,53.3
10662,53.3
10663,53.3
10664,53.3
10665,53.3
10666,53.3
10667,53.3
10668,53.3
10669,53.3
10670,53.3
10671,53.3
10672,53.3
10673,53.3
10674,53.3
10675,53.3
10676,53.3
10677,53.3
10678,53.3
10679,53.3
10680,53.3
10681,53.3
10682,53.3
10683,53.3
10684,53.3
10685,53.3
10686,53.3
10687,53.3
10688,53.3
10689,53.3
10690,53.3
10691,50.13
10692,
11100,0.0
11101,0.0
11102,0.0
11103,0.0
11104,0.0
11105,0.0
11106,0.0
11107,0.0
11108,0.0
11109,0.0
11110,0.0
11111,0.0
11112,0.0
11113,0.0
11114,0.0
11115,0.0
11116,0.0
11117,0.0
11118,0.0
11119,0.0
11120,0.0
11121,0.0
11122,0.0
11123,0.0
11124,0.0
11125,0.0
11126,0.0
11127,0.0
11128,0.0
11129,0.0
11130,3.97
11131,15.08
11132,15.08
11133,20.37
11134,28.71
11135,28.71
11136,31.35
11137,31.35
11138,31.35
11139,31.35
11140,31.35
11141,31.35
11142,31.35
11143,31.35
11144,31.35
11145,31.35
11146,31.35
11147,31.35
11148,31.35
11149,31.35
11150,31.35
11151,45.64
11152,45.64
11153,52.25
11154,61.24
11155,61.24
11156,61.24
11157,61.24
11158,61.24
11159,61.24
11160,61.24
11161,61.24
11162,61.24
11163,61.24
11164,61.24
11165,61.24
11166,61.24
11167,61.24
11168,61.24
11169,61.24
11170,61.24
11171,58.46
11172,58.46
11173,58.46
11174,58.46
11175,58.46
11176,58.46
11177,58.46
11178,58.46
11179,61.24
11180,74.2
11181,78.83
11182,78.83
11183,78.83
11184,78.83
11185,78.83
11186,78.83
11187,78.83
11188,78.83
11189,78.83
11190,78.83
11191,78.83
11192,78.83
11193,78.83
11194,80.82
11195,80.82
11196,83.46
11197,83.46
11198,83.46
11199,83.46
11200,83.46
11201,83.46
11202,83.46
11203,83.46
11204,83.46
11205,83.46
11206,83.46
11207,83.46
11208,76.85
11209,76.85
11210,46.16
11211,46.16
11212,46.16
11213,46.16
11214,46.16
11215,46.16
11216,46.16
11217,46.16
11218,46.16
11219,46.16
11220,46.16
11221,46.16
11222,46.16
11223,46.16
11224,46.16
11225,46.16
11226,46.16
11227,46.16
11228,46.16
11229,46.16
11230,46.16
11231,46.16
11232,
11233,
11234,
11235,
15020,0.0
15021,0.0
15022,0.0
15023,0.0
15024,0.0
15025,0.0
15026,0.0
15027,0.0
15028,0.0
15029,0.0
15030,0.0
15031,0.0
15032,0.0
15033,0.0
15034,0.0
15035,0.0
15036,0.0
15037,0.0
15038,0.0
15039,0.0
15040,0.0
15041,0.0
15042,0.0
15043,0.0
15044,0.0
15045,0.0
15046,0.0
15047,0.0
15048,0.0
15049,0.0
15050,0.0
15051,0.0
15052,15.47
15053,15.47
15054,15.47
15055,15.47
15056,15.47
15057,15.47
15058,15.47
15059,15.47
15060,15.47
15061,15.47
15062,15.47
15063,15.47
15064,15.47
15065,15.47
15066,15.47
15067,15.47
15068,15.47
15069,15.47
15070,15.47
15071,15.47
15072,15.47
15073,15.47
15074,15.47
15075,15.47
15076,15.47
15077,15.47
15078,15.47
15079,19.44
15080,19.44
15081,19.44
15082,19.44
15083,19.44
15084,19.44
15085,19.44
15086,19.44
15087,19.44
15088,19.44
15089,19.44
15090,19.44
15091,19.44
15092,19.44
15093,19.44
15094,19.44
15095,37.7
15096,37.7
15097,37.7
15098,37.7
15099,40.47
15100,61.24
15101,61.24
15102,79.63
15103,90.74
15104,93.38
15105,97.35
15106,97.35
15107,97.35
15108,97.35
15109,97.35
15110,97.35
15111,97.35
15112,97.35
15113,97.35
15114,97.35
15115,97.35
15116,97.35
15117,97.35
15118,97.35
15119,97.35
15120,97.35
15121,97.35
15122,97.35
15123,97.35
15124,97.35
15125,97.35
15126,97.35
15127,97.35
15128,97.35
15129,97.35
15130,97.35
15131,97.35
15132,97.35
15133,97.35
15134,97.35
15135,94.71
15136,97.35
15137,97.35
15138,90.74
15139,88.09
15140,88.09
15141,88.09
15142,88.09
15143,88.09
15144,88.09
15145,88.09
15146,88.09
15147,88.09
15148,88.09
15149,88.09
15150,
15151,
15152,
15153,
15154,
15155,
